# Assembly name:  ASM28108v1
# Organism name:  Catenovulum agarivorans YM01 (g-proteobacteria)
# Infraspecific name:  strain=YM01
# Taxid:          659495
# BioSample:      SAMN02470761
# BioProject:     PRJNA158387
# Submitter:      Ocean University of China
# Date:           2012-07-31
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    AJWM01
# Assembly method: SOAPdenovo v. 2011
# Genome coverage: 61.6x
# Sequencing technology: Illumina HiSeq
# Relation to type material: assembly from type material
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000281085.1
# RefSeq assembly accession: GCF_000281085.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000281095.1	GCF_000281095.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Scaffold1	unplaced-scaffold	na	na	JH767522.1	=	NZ_JH767522.1	Primary Assembly	424499	na
Scaffold2	unplaced-scaffold	na	na	JH767523.1	=	NZ_JH767523.1	Primary Assembly	342118	na
Scaffold3	unplaced-scaffold	na	na	JH767524.1	=	NZ_JH767524.1	Primary Assembly	316100	na
Scaffold4	unplaced-scaffold	na	na	JH767525.1	=	NZ_JH767525.1	Primary Assembly	315069	na
Scaffold5	unplaced-scaffold	na	na	JH767526.1	=	NZ_JH767526.1	Primary Assembly	296104	na
Scaffold6	unplaced-scaffold	na	na	JH767527.1	=	NZ_JH767527.1	Primary Assembly	268427	na
Scaffold7	unplaced-scaffold	na	na	JH767528.1	=	NZ_JH767528.1	Primary Assembly	257393	na
Scaffold8	unplaced-scaffold	na	na	JH767529.1	=	NZ_JH767529.1	Primary Assembly	245830	na
Scaffold9	unplaced-scaffold	na	na	JH767530.1	=	NZ_JH767530.1	Primary Assembly	212606	na
Scaffold10	unplaced-scaffold	na	na	AJWM01000041.1	=	NZ_AJWM01000041.1	Primary Assembly	182498	na
Scaffold11	unplaced-scaffold	na	na	JH767531.1	=	NZ_JH767531.1	Primary Assembly	171888	na
Scaffold12	unplaced-scaffold	na	na	JH767532.1	=	NZ_JH767532.1	Primary Assembly	169350	na
Scaffold13	unplaced-scaffold	na	na	AJWM01000048.1	=	NZ_AJWM01000048.1	Primary Assembly	156584	na
Scaffold14	unplaced-scaffold	na	na	JH767533.1	=	NZ_JH767533.1	Primary Assembly	148744	na
Scaffold15	unplaced-scaffold	na	na	JH767534.1	=	NZ_JH767534.1	Primary Assembly	148425	na
Scaffold16	unplaced-scaffold	na	na	JH767535.1	=	NZ_JH767535.1	Primary Assembly	146735	na
Scaffold17	unplaced-scaffold	na	na	JH767536.1	=	NZ_JH767536.1	Primary Assembly	140490	na
Scaffold18	unplaced-scaffold	na	na	JH767537.1	=	NZ_JH767537.1	Primary Assembly	122390	na
Scaffold19	unplaced-scaffold	na	na	JH767538.1	=	NZ_JH767538.1	Primary Assembly	102224	na
Scaffold20	unplaced-scaffold	na	na	JH767539.1	=	NZ_JH767539.1	Primary Assembly	88802	na
Scaffold21	unplaced-scaffold	na	na	JH767540.1	=	NZ_JH767540.1	Primary Assembly	71954	na
Scaffold22	unplaced-scaffold	na	na	JH767541.1	=	NZ_JH767541.1	Primary Assembly	70418	na
Scaffold23	unplaced-scaffold	na	na	AJWM01000076.1	=	NZ_AJWM01000076.1	Primary Assembly	67428	na
Scaffold24	unplaced-scaffold	na	na	JH767542.1	=	NZ_JH767542.1	Primary Assembly	63113	na
Scaffold25	unplaced-scaffold	na	na	JH767543.1	=	NZ_JH767543.1	Primary Assembly	59093	na
Scaffold26	unplaced-scaffold	na	na	JH767544.1	=	NZ_JH767544.1	Primary Assembly	53763	na
Scaffold27	unplaced-scaffold	na	na	JH767545.1	=	NZ_JH767545.1	Primary Assembly	48198	na
Scaffold28	unplaced-scaffold	na	na	JH767546.1	=	NZ_JH767546.1	Primary Assembly	39916	na
Scaffold29	unplaced-scaffold	na	na	AJWM01000090.1	=	NZ_AJWM01000090.1	Primary Assembly	28863	na
