# Assembly Statistics Report
# Assembly name:  ASM1236v1
# Organism name:  Burkholderia thailandensis E264 (b-proteobacteria)
# Infraspecific name:  strain=E264; ATCC 700388
# Taxid:          271848
# BioSample:      SAMN02604021
# BioProject:     PRJNA10774
# Submitter:      TIGR
# Date:           2005-12-15
# Assembly type:  na
# Release type:   major
# Assembly level: Complete Genome
# Genome representation: full
# Relation to type material: assembly from type material
# GenBank assembly accession: GCA_000012365.1
# RefSeq assembly accession: GCF_000012365.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000012375.1	GCF_000012375.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	6723972
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	2
all	all	all	all	scaffold-N50	3809201
all	all	all	all	scaffold-L50	1
all	all	all	all	scaffold-N75	2914771
all	all	all	all	scaffold-N90	2914771
all	all	all	all	total-gap-length	0
all	all	all	all	molecule-count	2
all	all	all	all	top-level-count	2
all	all	all	all	component-count	2
all	all	all	all	gc-perc	67.5
Primary Assembly	all	all	all	total-length	6723972
Primary Assembly	all	all	all	ungapped-length	6723972
Primary Assembly	all	all	all	scaffold-count	2
Primary Assembly	all	all	all	scaffold-N50	3809201
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	67.5
Primary Assembly	all	all	assembled-molecule	total-length	6723972
Primary Assembly	all	all	assembled-molecule	ungapped-length	6723972
Primary Assembly	all	all	assembled-molecule	scaffold-count	2
Primary Assembly	all	all	assembled-molecule	scaffold-N50	3809201
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	67.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	I	Chromosome	all	total-length	3809201
Primary Assembly	I	Chromosome	all	ungapped-length	3809201
Primary Assembly	I	Chromosome	all	scaffold-count	1
Primary Assembly	I	Chromosome	all	scaffold-N50	3809201
Primary Assembly	I	Chromosome	all	spanned-gaps	0
Primary Assembly	I	Chromosome	all	unspanned-gaps	0
Primary Assembly	I	Chromosome	all	gc-perc	67.5
Primary Assembly	I	Chromosome	assembled-molecule	total-length	3809201
Primary Assembly	I	Chromosome	assembled-molecule	ungapped-length	3809201
Primary Assembly	I	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	I	Chromosome	assembled-molecule	scaffold-N50	3809201
Primary Assembly	I	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	I	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	I	Chromosome	assembled-molecule	gc-perc	67.5
Primary Assembly	I	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	I	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	I	Chromosome	unlocalized-scaffold	scaffold-count	0
