	Download script?	GenBank ID	RefSeq	FTP path	GenBank accession	Flagellum	Motility	Phylum	Class	Order	Family	Genus	Species	Strain	Reference	Notes	Isolation source	Habitat/Lifestyle	flag-1	flag-2	flag-3a	flag-3b	flag-4	flag-5	sum	3ish	3plain	manual	which	spname_in_lit	notes31	group	notes32
	Y	GCA_000022565.1	GCF_000022565.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/565/GCA_000022565.1_ASM2256v1	CP001472.1	Yes	Motile	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Acidobacterium	capsulatum	ATCC 51196																			
		GCA_000191145.1	GCF_000191145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/145/GCA_000191145.1_ASM19114v1	CP002177.1			Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	pittii	PHEA-2	Purple bacteria and relatives																		
		GCA_900097105.1	GCF_900097105.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/097/105/GCA_900097105.1_WK001	LT629973.1	?	Motile	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	glycaniphila isolate APytT 																				
		GCA_000022145.1	GCF_000022145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/145/GCA_000022145.1_ASM2214v1	CP001359.1		Gliding	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	dehalogenans	2CP-1 																			
		GCA_000439775.1	GCF_000439775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/775/GCA_000439775.1_ASM43977v1	CP006617.1			Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma	phagocytophilum	JM																			
		GCA_007747655.1	GCF_007747655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/747/655/GCA_007747655.1_ASM774765v1	CP036274.1			Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Anatilimnocola	aggregata	ETA_A8																			
		GCA_000008625.1	 GCF_000008625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/625/GCA_000008625.1_ASM862v1	AE000657.1	Yes	Motile	Aquificota	Aquificae	Aquificales	Aquificaceae	Aquifex	aeolicus	VF5	Deckert et al 1998	hyperthermophilic																	
		GCA_000008625.1	 GCF_000008625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/625/GCA_000008625.1_ASM862v1	AE000667.1	Yes	Motile	Aquificota	Aquificae	Aquificales	Aquificaceae	Aquifex	aeolicus	VF5 plasmid ece1	Deckert et al 1999																		
		GCA_000092245.1	GCF_000092245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/245/GCA_000092245.1_ASM9224v1	CP001999.1	Yes	Motile	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	nitrofigilis	DSM 7299 																			
		GCA_000009045.1	GCF_000009045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/045/GCA_000009045.1_ASM904v1	AL009126.3			Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	subtilis subsp. subtilis	168		Low gc gram+																	
		GCA_019930665.1	 GCF_019930665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/930/665/GCA_019930665.1_ASM1993066v1	CP082886.1		Motile	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	nordii	FDAARGOS_1461																			
		GCA_000691605.1	GCF_000691605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/691/605/GCA_000691605.1_ASM69160v1	CP007656.1			Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	bacteriovorus	HD100	Predatory																		
		GCA_000223215.1	GCF_000223215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/215/GCA_000223215.1_ASM22321v1	CP002874.1			Spirochaetes		Brachyspirales	Brachyspiraceae	Brachyspira	intermedia	PWS/A																			
		GCA_000223215.1	GCF_000223215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/215/GCA_000223215.1_ASM22321v1	CP002875.1			Spirochaetes		Brachyspirales	Brachyspiraceae	Brachyspira	intermedia	PWS/A plasmid 																			
		GCA_000319185.1	GCF_000319185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/319/185/GCA_000319185.1_ASM31918v1	HE793032.1			Spirochaetes		Brachyspirales	Brachyspiraceae	Brachyspira	pilosicoli	WesB																			
		GCA_003258315.1	GCF_003258315.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/258/315/GCA_003258315.1_ASM325831v1	CP030032.1	No	Nonmotile	Proteobacteria	Deltaproteobacteria	Bradymonadales	Bradymonadaceae	Bradymonas	sediminis	FA350 	Wang et al 2015																		
		GCA_900184705.1	GCF_900184705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/184/705/GCA_900184705.1_CAMBI-1	LT859958.1	No	Nonmotile	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Brevefilum	bacterium	CAMBI-1 		Green non-sulfur bacteria																	
		GCA_002706795.1	GCF_002706795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/706/795/GCA_002706795.1_ASM270679v1	CP017705.1			Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	laterosporus	DSM 25		Low gc gram+																	
		GCA_000144605.1	GCF_000144605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/605/GCA_000144605.1_ASM14460v1	CP002102.1			Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	subvibrioides	ATCC 15264																			
		GCA_000016845.1	GCF_000016845.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/845/GCA_000016845.1_ASM1684v1	CP000708.1			Proteobacteria	Alphaproteobacteria	Hyphomicrobiales/Rhizobiales	Brucellaceae	Brucella	ovis	ATCC 25840 chromosome 1																			
		GCA_000016845.1	GCF_000016845.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/845/GCA_000016845.1_ASM1684v2	CP000709.1			Proteobacteria	Alphaproteobacteria	Hyphomicrobiales/Rhizobiales	Brucellaceae	Brucella	ovis	ATCC 25840 chromosome 2																			
		GCA_000007365.1	GCF_000007365.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/365/GCA_000007365.1_ASM736v1	AE013218.1	No	Nonmotile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	aphidicola	Sg (Schizaphis graminum)																			
		GCA_000009605.1	GCF_000009605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/605/GCA_000009605.1_ASM960v1	BA000003.2	No	Nonmotile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	aphidicola	APS (Acyrthosiphon pisum) chromosome																			
		GCA_000009605.1	GCF_000009605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/605/GCA_000009605.1_ASM960v2	AP001071.1	No	Nonmotile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	aphidicola	APS (Acyrthosiphon pisum) plasmid pLeu																			
