fullnames	fns	genome_id	assembly_id	gids	desc	taxon	genus	species	strain
GCA_000020725.1_ASM2072v1_protein|ACH40744.1 flagellar basal body stator protein MotA [Citrifermentans bemidjiense Bem]	GCA_000020725.1_ASM2072v1_protein	GCA_000020725.1	ASM2072v1	ACH40744.1	flagellar basal body stator protein MotA	Citrifermentans bemidjiense Bem	Citrifermentans	bemidjiense	Bem
GCA_000195755.1_ASM19575v1_protein|AAS94534.1 chemotaxis protein MotA [Desulfovibrio vulgaris str. Hildenborough]	GCA_000195755.1_ASM19575v1_protein	GCA_000195755.1	ASM19575v1	AAS94534.1	GCA_000195755.1_ASM19575v1_protein|AAS94534.1 chemotaxis protein MotA	Desulfovibrio vulgaris str. Hildenborough	Desulfovibrio	vulgaris	str. Hildenborough
GCA_000024905.1_ASM2490v1_protein|ACZ19557.1 MotA/TolQ/ExbB proton channel [Thermanaerovibrio acidaminovorans DSM 6589]	GCA_000024905.1_ASM2490v1_protein	GCA_000024905.1	ASM2490v1	ACZ19557.1	GCA_000024905.1_ASM2490v1_protein|ACZ19557.1 MotA/TolQ/ExbB proton channel	Thermanaerovibrio acidaminovorans DSM 6589	Thermanaerovibrio	acidaminovorans	DSM 6589
GCA_000007685.1_ASM768v1_protein|AAS69243.1 motility protein A [Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130]	GCA_000007685.1_ASM768v1_protein	GCA_000007685.1	ASM768v1	AAS69243.1	GCA_000007685.1_ASM768v1_protein|AAS69243.1 motility protein A	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	Leptospira	interrogans	serovar Copenhageni str. Fiocruz L1-130
GCA_000008425.1_ASM842v1_protein|AAU40425.3 motility protein A flagellar stator MotA [Bacillus licheniformis DSM 13 = ATCC 14580]	GCA_000008425.1_ASM842v1_protein	GCA_000008425.1	ASM842v1	AAU40425.3	GCA_000008425.1_ASM842v1_protein|AAU40425.3 motility protein A flagellar stator MotA	Bacillus licheniformis DSM 13 = ATCC 14580	Bacillus	licheniformis	DSM 13 = ATCC 14580
GCA_000008545.1_ASM854v1_protein|AAD35759.1 motility protein A [Thermotoga maritima MSB8]	GCA_000008545.1_ASM854v1_protein	GCA_000008545.1	ASM854v1	AAD35759.1	GCA_000008545.1_ASM854v1_protein|AAD35759.1 motility protein A	Thermotoga maritima MSB8	Thermotoga	maritima	MSB8
GCA_000009785.1_ASM978v1_protein|BAD76815.1 motility protein A (flagellar motor rotation) [Geobacillus kaustophilus HTA426]	GCA_000009785.1_ASM978v1_protein	GCA_000009785.1	ASM978v1	BAD76815.1	GCA_000009785.1_ASM978v1_protein|BAD76815.1 motility protein A (flagellar motor rotation)	Geobacillus kaustophilus HTA426	Geobacillus	kaustophilus	HTA426
GCA_000209795.2_ASM20979v2_protein|BAI84979.1 flagellar motor protein MotA [Bacillus subtilis subsp. natto BEST195]	GCA_000209795.2_ASM20979v2_protein	GCA_000209795.2	ASM20979v2	BAI84979.1	GCA_000209795.2_ASM20979v2_protein|BAI84979.1 flagellar motor protein MotA	Bacillus subtilis subsp. natto BEST195	Bacillus	subtilis	subsp. natto BEST195
GCA_024507815.1_ASM2450781v1_protein|UUH67684.1 flagellar motor stator protein MotA [Bacillus subtilis subsp. natto]	GCA_024507815.1_ASM2450781v1_protein	GCA_024507815.1	ASM2450781v1	UUH67684.1	GCA_024507815.1_ASM2450781v1_protein|UUH67684.1 flagellar motor stator protein MotA	Bacillus subtilis subsp. natto	Bacillus	subtilis	subsp. natto
GCA_900142135.1_IMG-taxon_2585428156_annotated_assembly_protein|SHJ21761.1 chemotaxis protein MotA [Desulfatibacillum alkenivorans DSM 16219]	GCA_900142135.1_IMG-taxon_2585428156_annotated_assembly_protein	GCA_900142135.1	IMG-taxon	SHJ21761.1	GCA_900142135.1_IMG-taxon_2585428156_annotated_assembly_protein|SHJ21761.1 chemotaxis protein MotA	Desulfatibacillum alkenivorans DSM 16219	Desulfatibacillum	alkenivorans	DSM 16219
GCA_000025185.1_ASM2518v1_protein|ADB18997.1 MotA/TolQ/ExbB proton channel [Pirellula staleyi DSM 6068]	GCA_000025185.1_ASM2518v1_protein	GCA_000025185.1	ASM2518v1	ADB18997.1	GCA_000025185.1_ASM2518v1_protein|ADB18997.1 MotA/TolQ/ExbB proton channel	Pirellula staleyi DSM 6068	Pirellula	staleyi	DSM 6068
GCA_000027205.1_ASM2720v1_protein|CBJ47214.1 chemotaxis protein (motility protein A) [Erwinia amylovora ATCC 49946]	GCA_000027205.1_ASM2720v1_protein	GCA_000027205.1	ASM2720v1	CBJ47214.1	GCA_000027205.1_ASM2720v1_protein|CBJ47214.1 chemotaxis protein (motility protein A)	Erwinia amylovora ATCC 49946	Erwinia	amylovora	ATCC 49946
GCA_000018945.1_ASM1894v1_protein|ACM24086.1 Motility protein A [Thermotoga neapolitana DSM 4359]	GCA_000018945.1_ASM1894v1_protein	GCA_000018945.1	ASM1894v1	ACM24086.1	GCA_000018945.1_ASM1894v1_protein|ACM24086.1 Motility protein A	Thermotoga neapolitana DSM 4359	Thermotoga	neapolitana	DSM 4359
GCA_000012885.1_ASM1288v1_protein|ABA88421.1 flagellar basal body stator protein MotA [Syntrophotalea carbinolica DSM 2380]	GCA_000012885.1_ASM1288v1_protein	GCA_000012885.1	ASM1288v1	ABA88421.1	GCA_000012885.1_ASM1288v1_protein|ABA88421.1 flagellar basal body stator protein MotA	Syntrophotalea carbinolica DSM 2380	Syntrophotalea	carbinolica	DSM 2380
GCA_000025945.1_ASM2594v1_protein|CAG37394.1 related to flagellar motor apparatus (MotA) [Desulfotalea psychrophila LSv54]	GCA_000025945.1_ASM2594v1_protein	GCA_000025945.1	ASM2594v1	CAG37394.1	GCA_000025945.1_ASM2594v1_protein|CAG37394.1 related to flagellar motor apparatus (MotA)	Desulfotalea psychrophila LSv54	Desulfotalea	psychrophila	LSv54
GCA_000017685.1_ASM1768v1_protein|ABZ96341.1 Chemotaxis MotA protein; putative membrane protein [Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)']	GCA_000017685.1_ASM1768v1_protein	GCA_000017685.1	ASM1768v1	ABZ96341.1	GCA_000017685.1_ASM1768v1_protein|ABZ96341.1 Chemotaxis MotA protein; putative membrane protein	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	Leptospira	biflexa	serovar Patoc strain 'Patoc 1 (Paris)'
GCA_000755055.1_YEG_1_protein|KGA71382.1 flagellar motor stator protein MotA [Yersinia enterocolitica]	GCA_000755055.1_YEG_1_protein	GCA_000755055.1	YEG	KGA71382.1	GCA_000755055.1_YEG_1_protein|KGA71382.1 flagellar motor stator protein MotA	Yersinia enterocolitica	Yersinia	enterocolitica	
GCA_000167995.1_ASM16799v1_protein|EEQ12177.1 hypothetical protein ymoll0001_15000 [Yersinia mollaretii ATCC 43969]	GCA_000167995.1_ASM16799v1_protein	GCA_000167995.1	ASM16799v1	EEQ12177.1	GCA_000167995.1_ASM16799v1_protein|EEQ12177.1 hypothetical protein ymoll0001_15000	Yersinia mollaretii ATCC 43969	Yersinia	mollaretii	ATCC 43969
GCA_001171065.1_4840_6_7_protein|CNJ97189.1 flagellar motor protein MotA [Yersinia frederiksenii]	GCA_001171065.1_4840_6_7_protein	GCA_001171065.1	4840	CNJ97189.1	GCA_001171065.1_4840_6_7_protein|CNJ97189.1 flagellar motor protein MotA	Yersinia frederiksenii	Yersinia	frederiksenii	
GCA_002192835.1_ASM219283v1_protein|OWF82396.1 flagellar motor stator protein MotA [Yersinia frederiksenii]	GCA_002192835.1_ASM219283v1_protein	GCA_002192835.1	ASM219283v1	OWF82396.1	GCA_002192835.1_ASM219283v1_protein|OWF82396.1 flagellar motor stator protein MotA	Yersinia frederiksenii	Yersinia	frederiksenii	
GCA_001476295.1_ASM147629v1_protein|KTS00802.1 flagellar motor protein MotA [Pantoea dispersa]	GCA_001476295.1_ASM147629v1_protein	GCA_001476295.1	ASM147629v1	KTS00802.1	GCA_001476295.1_ASM147629v1_protein|KTS00802.1 flagellar motor protein MotA	Pantoea dispersa	Pantoea	dispersa	
GCA_000007625.1_ASM762v1_protein|AAO36203.1 chemotaxis motA protein [Clostridium tetani E88]	GCA_000007625.1_ASM762v1_protein	GCA_000007625.1	ASM762v1	AAO36203.1	GCA_000007625.1_ASM762v1_protein|AAO36203.1 chemotaxis motA protein	Clostridium tetani E88	Clostridium	tetani	E88
GCA_000020485.1_ASM2048v1_protein|ACL70428.1 MotA/TolQ/ExbB proton channel [Halothermothrix orenii H 168]	GCA_000020485.1_ASM2048v1_protein	GCA_000020485.1	ASM2048v1	ACL70428.1	GCA_000020485.1_ASM2048v1_protein|ACL70428.1 MotA/TolQ/ExbB proton channel	Halothermothrix orenii H 168	Halothermothrix	orenii	H 168
GCA_000773975.1_ASM77397v1_protein|KGT90535.1 flagellar motor protein MotA [Erwinia typographi]	GCA_000773975.1_ASM77397v1_protein	GCA_000773975.1	ASM77397v1	KGT90535.1	GCA_000773975.1_ASM77397v1_protein|KGT90535.1 flagellar motor protein MotA	Erwinia typographi	Erwinia	typographi	
GCA_000012885.1_ASM1288v1_protein|ABA88751.2 biopolymer transport membrane proton channel, TolQ-related protein [Syntrophotalea carbinolica DSM 2380]	GCA_000012885.1_ASM1288v1_protein	GCA_000012885.1	ASM1288v1	ABA88751.2	GCA_000012885.1_ASM1288v1_protein|ABA88751.2 biopolymer transport membrane proton channel, TolQ-related protein	Syntrophotalea carbinolica DSM 2380	Syntrophotalea	carbinolica	DSM 2380
GCA_000027205.1_ASM2720v1_protein|CBJ46707.1 chemotaxis protein [Erwinia amylovora ATCC 49946]	GCA_000027205.1_ASM2720v1_protein	GCA_000027205.1	ASM2720v1	CBJ46707.1	GCA_000027205.1_ASM2720v1_protein|CBJ46707.1 chemotaxis protein	Erwinia amylovora ATCC 49946	Erwinia	amylovora	ATCC 49946
GCA_001319955.1_5139_5_3_protein|CFQ30487.1 flagellar motor protein MotA [Yersinia bercovieri]	GCA_001319955.1_5139_5_3_protein	GCA_001319955.1	5139	CFQ30487.1	GCA_001319955.1_5139_5_3_protein|CFQ30487.1 flagellar motor protein MotA	Yersinia bercovieri	Yersinia	bercovieri	
