fullnames	fns	genome_id	assembly_id	gids	desc	taxon	genus	species	strain
ACH40744.1 flagellar basal body stator protein MotA [Citrifermentans bemidjiense Bem]|GCA_000020725.1_ASM2072v1_protein	GCA_000020725.1_ASM2072v1_protein	GCA_000020725.1	ASM2072v1	ACH40744.1	ACH40744.1 flagellar basal body stator protein MotA	Citrifermentans bemidjiense Bem	Citrifermentans	bemidjiense	Bem
AAS94534.1 chemotaxis protein MotA [Desulfovibrio vulgaris str. Hildenborough]|GCA_000195755.1_ASM19575v1_protein	GCA_000195755.1_ASM19575v1_protein	GCA_000195755.1	ASM19575v1	AAS94534.1	AAS94534.1 chemotaxis protein MotA	Desulfovibrio vulgaris str. Hildenborough	Desulfovibrio	vulgaris	str. Hildenborough
ACZ19557.1 MotA/TolQ/ExbB proton channel [Thermanaerovibrio acidaminovorans DSM 6589]|GCA_000024905.1_ASM2490v1_protein	GCA_000024905.1_ASM2490v1_protein	GCA_000024905.1	ASM2490v1	ACZ19557.1	ACZ19557.1 MotA/TolQ/ExbB proton channel	Thermanaerovibrio acidaminovorans DSM 6589	Thermanaerovibrio	acidaminovorans	DSM 6589
AAS69243.1 motility protein A [Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130]|GCA_000007685.1_ASM768v1_protein	GCA_000007685.1_ASM768v1_protein	GCA_000007685.1	ASM768v1	AAS69243.1	AAS69243.1 motility protein A	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	Leptospira	interrogans	serovar Copenhageni str. Fiocruz L1-130
AAU40425.3 motility protein A flagellar stator MotA [Bacillus licheniformis DSM 13 = ATCC 14580]|GCA_000008425.1_ASM842v1_protein	GCA_000008425.1_ASM842v1_protein	GCA_000008425.1	ASM842v1	AAU40425.3	AAU40425.3 motility protein A flagellar stator MotA	Bacillus licheniformis DSM 13 = ATCC 14580	Bacillus	licheniformis	DSM 13 = ATCC 14580
AAD35759.1 motility protein A [Thermotoga maritima MSB8]|GCA_000008545.1_ASM854v1_protein	GCA_000008545.1_ASM854v1_protein	GCA_000008545.1	ASM854v1	AAD35759.1	AAD35759.1 motility protein A	Thermotoga maritima MSB8	Thermotoga	maritima	MSB8
BAD76815.1 motility protein A (flagellar motor rotation) [Geobacillus kaustophilus HTA426]|GCA_000009785.1_ASM978v1_protein	GCA_000009785.1_ASM978v1_protein	GCA_000009785.1	ASM978v1	BAD76815.1	BAD76815.1 motility protein A (flagellar motor rotation)	Geobacillus kaustophilus HTA426	Geobacillus	kaustophilus	HTA426
BAI84979.1 flagellar motor protein MotA [Bacillus subtilis subsp. natto BEST195]|GCA_000209795.2_ASM20979v2_protein	GCA_000209795.2_ASM20979v2_protein	GCA_000209795.2	ASM20979v2	BAI84979.1	BAI84979.1 flagellar motor protein MotA	Bacillus subtilis subsp. natto BEST195	Bacillus	subtilis	subsp. natto BEST195
UUH67684.1 flagellar motor stator protein MotA [Bacillus subtilis subsp. natto]|GCA_024507815.1_ASM2450781v1_protein	GCA_024507815.1_ASM2450781v1_protein	GCA_024507815.1	ASM2450781v1	UUH67684.1	UUH67684.1 flagellar motor stator protein MotA	Bacillus subtilis subsp. natto	Bacillus	subtilis	subsp. natto
SHJ21761.1 chemotaxis protein MotA [Desulfatibacillum alkenivorans DSM 16219]|GCA_900142135.1_IMG-taxon_2585428156_annotated_assembly_protein	GCA_900142135.1_IMG-taxon_2585428156_annotated_assembly_protein	GCA_900142135.1	IMG-taxon	SHJ21761.1	SHJ21761.1 chemotaxis protein MotA	Desulfatibacillum alkenivorans DSM 16219	Desulfatibacillum	alkenivorans	DSM 16219
ADB18997.1 MotA/TolQ/ExbB proton channel [Pirellula staleyi DSM 6068]|GCA_000025185.1_ASM2518v1_protein	GCA_000025185.1_ASM2518v1_protein	GCA_000025185.1	ASM2518v1	ADB18997.1	ADB18997.1 MotA/TolQ/ExbB proton channel	Pirellula staleyi DSM 6068	Pirellula	staleyi	DSM 6068
CBJ47214.1 chemotaxis protein (motility protein A) [Erwinia amylovora ATCC 49946]|GCA_000027205.1_ASM2720v1_protein	GCA_000027205.1_ASM2720v1_protein	GCA_000027205.1	ASM2720v1	CBJ47214.1	CBJ47214.1 chemotaxis protein (motility protein A)	Erwinia amylovora ATCC 49946	Erwinia	amylovora	ATCC 49946
ACM24086.1 Motility protein A [Thermotoga neapolitana DSM 4359]|GCA_000018945.1_ASM1894v1_protein	GCA_000018945.1_ASM1894v1_protein	GCA_000018945.1	ASM1894v1	ACM24086.1	ACM24086.1 Motility protein A	Thermotoga neapolitana DSM 4359	Thermotoga	neapolitana	DSM 4359
ABA88421.1 flagellar basal body stator protein MotA [Syntrophotalea carbinolica DSM 2380]|GCA_000012885.1_ASM1288v1_protein	GCA_000012885.1_ASM1288v1_protein	GCA_000012885.1	ASM1288v1	ABA88421.1	ABA88421.1 flagellar basal body stator protein MotA	Syntrophotalea carbinolica DSM 2380	Syntrophotalea	carbinolica	DSM 2380
CAG37394.1 related to flagellar motor apparatus (MotA) [Desulfotalea psychrophila LSv54]|GCA_000025945.1_ASM2594v1_protein	GCA_000025945.1_ASM2594v1_protein	GCA_000025945.1	ASM2594v1	CAG37394.1	CAG37394.1 related to flagellar motor apparatus (MotA)	Desulfotalea psychrophila LSv54	Desulfotalea	psychrophila	LSv54
ABZ96341.1 Chemotaxis MotA protein; putative membrane protein [Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)']|GCA_000017685.1_ASM1768v1_protein	GCA_000017685.1_ASM1768v1_protein	GCA_000017685.1	ASM1768v1	ABZ96341.1	ABZ96341.1 Chemotaxis MotA protein; putative membrane protein	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	Leptospira	biflexa	serovar Patoc strain 'Patoc 1 (Paris)'
KGA71382.1 flagellar motor stator protein MotA [Yersinia enterocolitica]|GCA_000755055.1_YEG_1_protein	GCA_000755055.1_YEG_1_protein	GCA_000755055.1	YEG	KGA71382.1	KGA71382.1 flagellar motor stator protein MotA	Yersinia enterocolitica	Yersinia	enterocolitica	
EEQ12177.1 hypothetical protein ymoll0001_15000 [Yersinia mollaretii ATCC 43969]|GCA_000167995.1_ASM16799v1_protein	GCA_000167995.1_ASM16799v1_protein	GCA_000167995.1	ASM16799v1	EEQ12177.1	EEQ12177.1 hypothetical protein ymoll0001_15000	Yersinia mollaretii ATCC 43969	Yersinia	mollaretii	ATCC 43969
CNJ97189.1 flagellar motor protein MotA [Yersinia frederiksenii]|GCA_001171065.1_4840_6_7_protein	GCA_001171065.1_4840_6_7_protein	GCA_001171065.1	4840	CNJ97189.1	CNJ97189.1 flagellar motor protein MotA	Yersinia frederiksenii	Yersinia	frederiksenii	
OWF82396.1 flagellar motor stator protein MotA [Yersinia frederiksenii]|GCA_002192835.1_ASM219283v1_protein	GCA_002192835.1_ASM219283v1_protein	GCA_002192835.1	ASM219283v1	OWF82396.1	OWF82396.1 flagellar motor stator protein MotA	Yersinia frederiksenii	Yersinia	frederiksenii	
KTS00802.1 flagellar motor protein MotA [Pantoea dispersa]|GCA_001476295.1_ASM147629v1_protein	GCA_001476295.1_ASM147629v1_protein	GCA_001476295.1	ASM147629v1	KTS00802.1	KTS00802.1 flagellar motor protein MotA	Pantoea dispersa	Pantoea	dispersa	
AAO36203.1 chemotaxis motA protein [Clostridium tetani E88]|GCA_000007625.1_ASM762v1_protein	GCA_000007625.1_ASM762v1_protein	GCA_000007625.1	ASM762v1	AAO36203.1	AAO36203.1 chemotaxis motA protein	Clostridium tetani E88	Clostridium	tetani	E88
ACL70428.1 MotA/TolQ/ExbB proton channel [Halothermothrix orenii H 168]|GCA_000020485.1_ASM2048v1_protein	GCA_000020485.1_ASM2048v1_protein	GCA_000020485.1	ASM2048v1	ACL70428.1	ACL70428.1 MotA/TolQ/ExbB proton channel	Halothermothrix orenii H 168	Halothermothrix	orenii	H 168
KGT90535.1 flagellar motor protein MotA [Erwinia typographi]|GCA_000773975.1_ASM77397v1_protein	GCA_000773975.1_ASM77397v1_protein	GCA_000773975.1	ASM77397v1	KGT90535.1	KGT90535.1 flagellar motor protein MotA	Erwinia typographi	Erwinia	typographi	
ABA88751.2 biopolymer transport membrane proton channel, TolQ-related protein [Syntrophotalea carbinolica DSM 2380]|GCA_000012885.1_ASM1288v1_protein	GCA_000012885.1_ASM1288v1_protein	GCA_000012885.1	ASM1288v1	ABA88751.2	ABA88751.2 biopolymer transport membrane proton channel, TolQ-related protein	Syntrophotalea carbinolica DSM 2380	Syntrophotalea	carbinolica	DSM 2380
CBJ46707.1 chemotaxis protein [Erwinia amylovora ATCC 49946]|GCA_000027205.1_ASM2720v1_protein	GCA_000027205.1_ASM2720v1_protein	GCA_000027205.1	ASM2720v1	CBJ46707.1	CBJ46707.1 chemotaxis protein	Erwinia amylovora ATCC 49946	Erwinia	amylovora	ATCC 49946
CFQ30487.1 flagellar motor protein MotA [Yersinia bercovieri]|GCA_001319955.1_5139_5_3_protein	GCA_001319955.1_5139_5_3_protein	GCA_001319955.1	5139	CFQ30487.1	CFQ30487.1 flagellar motor protein MotA	Yersinia bercovieri	Yersinia	bercovieri	
AFA40896.1 proton conductor component of flagella motor [Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)]|GCA_000247565.1_ASM24756v1_protein	GCA_000247565.1_ASM24756v1_protein	GCA_000247565.1	ASM24756v1	AFA40896.1	AFA40896.1 proton conductor component of flagella motor	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)	Wigglesworthia	glossinidia	endosymbiont of Glossina morsitans morsitans (Yale colony)
KLP57591.1 flagellar motor protein MotA [Enterobacter genomosp. O]|GCA_001022965.1_ASM102296v1_protein	GCA_001022965.1_ASM102296v1_protein	GCA_001022965.1	ASM102296v1	KLP57591.1	KLP57591.1 flagellar motor protein MotA	Enterobacter genomosp. O	Enterobacter	genomosp.	O
AOM39478.1 flagellar motor stator protein MotA [Xenorhabdus hominickii]|GCA_001721185.1_ASM172118v1_protein	GCA_001721185.1_ASM172118v1_protein	GCA_001721185.1	ASM172118v1	AOM39478.1	AOM39478.1 flagellar motor stator protein MotA	Xenorhabdus hominickii	Xenorhabdus	hominickii	
BAD64518.1 motility protein A [Alkalihalobacillus clausii KSM-K16]|GCA_000009825.1_ASM982v1_protein	GCA_000009825.1_ASM982v1_protein	GCA_000009825.1	ASM982v1	BAD64518.1	BAD64518.1 motility protein A	Alkalihalobacillus clausii KSM-K16	Alkalihalobacillus	clausii	KSM-K16
ABC44034.1 putative biopolymer transport protein [Salinibacter ruber DSM 13855]|GCA_000013045.1_ASM1304v1_protein	GCA_000013045.1_ASM1304v1_protein	GCA_000013045.1	ASM1304v1	ABC44034.1	ABC44034.1 putative biopolymer transport protein	Salinibacter ruber DSM 13855	Salinibacter	ruber	DSM 13855
AAZ97196.1 probable chemotaxis transmembrane protein MotA [Thiobacillus denitrificans ATCC 25259]|GCA_000012745.1_ASM1274v1_protein	GCA_000012745.1_ASM1274v1_protein	GCA_000012745.1	ASM1274v1	AAZ97196.1	AAZ97196.1 probable chemotaxis transmembrane protein MotA	Thiobacillus denitrificans ATCC 25259	Thiobacillus	denitrificans	ATCC 25259
KLR25774.1 flagellar motor protein MotA [Enterobacter bugandensis]|GCA_001023305.1_ASM102330v1_protein	GCA_001023305.1_ASM102330v1_protein	GCA_001023305.1	ASM102330v1	KLR25774.1	KLR25774.1 flagellar motor protein MotA	Enterobacter bugandensis	Enterobacter	bugandensis	
EDR32241.1 chemotaxis protein motA [Yersinia pestis biovar Orientalis str. IP275]|GCA_000168235.2_ASM16823v2_protein	GCA_000168235.2_ASM16823v2_protein	GCA_000168235.2	ASM16823v2	EDR32241.1	EDR32241.1 chemotaxis protein motA	Yersinia pestis biovar Orientalis str. IP275	Yersinia	pestis	biovar Orientalis str. IP275
RYJ17830.1 flagellar motor stator protein MotA [Rahnella variigena]|GCA_004150405.1_ASM415040v1_protein	GCA_004150405.1_ASM415040v1_protein	GCA_004150405.1	ASM415040v1	RYJ17830.1	RYJ17830.1 flagellar motor stator protein MotA	Rahnella variigena	Rahnella	variigena	
AKS91147.1 flagellar motor stator protein MotA [Yersinia pestis 8787]|GCA_001188755.1_ASM118875v1_protein	GCA_001188755.1_ASM118875v1_protein	GCA_001188755.1	ASM118875v1	AKS91147.1	AKS91147.1 flagellar motor stator protein MotA	Yersinia pestis 8787	Yersinia	pestis	8787
POT54755.1 flagellar motor stator protein MotA [Citrobacter amalonaticus]|GCA_002918555.1_ASM291855v1_protein	GCA_002918555.1_ASM291855v1_protein	GCA_002918555.1	ASM291855v1	POT54755.1	POT54755.1 flagellar motor stator protein MotA	Citrobacter amalonaticus	Citrobacter	amalonaticus	
ACV67875.1 MotA/TolQ/ExbB proton channel [Desulfohalobium retbaense DSM 5692]|GCA_000024325.1_ASM2432v1_protein	GCA_000024325.1_ASM2432v1_protein	GCA_000024325.1	ASM2432v1	ACV67875.1	ACV67875.1 MotA/TolQ/ExbB proton channel	Desulfohalobium retbaense DSM 5692	Desulfohalobium	retbaense	DSM 5692
AAS95121.1 chemotaxis protein PomA [Desulfovibrio vulgaris str. Hildenborough]|GCA_000195755.1_ASM19575v1_protein	GCA_000195755.1_ASM19575v1_protein	GCA_000195755.1	ASM19575v1	AAS95121.1	AAS95121.1 chemotaxis protein PomA	Desulfovibrio vulgaris str. Hildenborough	Desulfovibrio	vulgaris	str. Hildenborough
TCV95526.1 chemotaxis protein MotA [Biostraticola tofi]|GCA_004343195.1_ASM434319v1_protein	GCA_004343195.1_ASM434319v1_protein	GCA_004343195.1	ASM434319v1	TCV95526.1	TCV95526.1 chemotaxis protein MotA	Biostraticola tofi	Biostraticola	tofi	
AAS13283.1 motility protein A [Treponema denticola ATCC 35405]|GCA_000008185.1_ASM818v1_protein	GCA_000008185.1_ASM818v1_protein	GCA_000008185.1	ASM818v1	AAS13283.1	AAS13283.1 motility protein A	Treponema denticola ATCC 35405	Treponema	denticola	ATCC 35405
CNK31042.1 flagellar motor protein MotA [Yersinia frederiksenii]|GCA_001171065.1_4840_6_7_protein	GCA_001171065.1_4840_6_7_protein	GCA_001171065.1	4840	CNK31042.1	CNK31042.1 flagellar motor protein MotA	Yersinia frederiksenii	Yersinia	frederiksenii	
EHR42267.1 chemotaxis protein MotA [Alishewanella jeotgali KCTC 22429]|GCA_000245735.2_ASM24573v2_protein	GCA_000245735.2_ASM24573v2_protein	GCA_000245735.2	ASM24573v2	EHR42267.1	EHR42267.1 chemotaxis protein MotA	Alishewanella jeotgali KCTC 22429	Alishewanella	jeotgali	KCTC 22429
KGT93171.1 flagellar motor protein MotA [Enterobacter cancerogenus]|GCA_000773965.1_ASM77396v1_protein	GCA_000773965.1_ASM77396v1_protein	GCA_000773965.1	ASM77396v1	KGT93171.1	KGT93171.1 flagellar motor protein MotA	Enterobacter cancerogenus	Enterobacter	cancerogenus	
EGW21349.1 MotA/TolQ/ExbB proton channel [Methylobacter tundripaludum SV96]|GCA_000190755.3_ASM19075v3_protein	GCA_000190755.3_ASM19075v3_protein	GCA_000190755.3	ASM19075v3	EGW21349.1	EGW21349.1 MotA/TolQ/ExbB proton channel	Methylobacter tundripaludum SV96	Methylobacter	tundripaludum	SV96
ORN01923.1 flagellar motor stator protein MotA [Pantoea septica]|GCA_002095575.1_ASM209557v1_protein	GCA_002095575.1_ASM209557v1_protein	GCA_002095575.1	ASM209557v1	ORN01923.1	ORN01923.1 flagellar motor stator protein MotA	Pantoea septica	Pantoea	septica	
TCZ23880.1 flagellar motor stator protein MotA [Pantoea agglomerans]|GCA_004344785.1_ASM434478v1_protein	GCA_004344785.1_ASM434478v1_protein	GCA_004344785.1	ASM434478v1	TCZ23880.1	TCZ23880.1 flagellar motor stator protein MotA	Pantoea agglomerans	Pantoea	agglomerans	
CCJ73890.1 Flagellar motor rotation protein MotA [Cronobacter condimenti 1330]|GCA_000319285.1_ASM31928v1_protein	GCA_000319285.1_ASM31928v1_protein	GCA_000319285.1	ASM31928v1	CCJ73890.1	CCJ73890.1 Flagellar motor rotation protein MotA	Cronobacter condimenti 1330	Cronobacter	condimenti	1330
KIU35409.1 flagellar motor protein MotA [Atlantibacter hermannii]|GCA_000878365.1_ASM87836v1_protein	GCA_000878365.1_ASM87836v1_protein	GCA_000878365.1	ASM87836v1	KIU35409.1	KIU35409.1 flagellar motor protein MotA	Atlantibacter hermannii	Atlantibacter	hermannii	
ABA59126.1 MotA/TolQ/ExbB proton channel [Nitrosococcus oceani ATCC 19707]|GCA_000012805.1_ASM1280v1_protein	GCA_000012805.1_ASM1280v1_protein	GCA_000012805.1	ASM1280v1	ABA59126.1	ABA59126.1 MotA/TolQ/ExbB proton channel	Nitrosococcus oceani ATCC 19707	Nitrosococcus	oceani	ATCC 19707
