genomeID	domain	phylum	class	order	family	genus	species1	species2	locus_tag	location	ssu_len	contig_len
GB_GCA_000353875.1	d__Bacteria	p__Atribacterota	c__Atribacteria	o__Atribacterales	f__Caldatribacteriaceae	g__Caldatribacterium	s__Caldatribacterium	californiense	[locus_tag=APKF01000030.1]	[location=14821..16397]	[ssu_len=1577]	[contig_len=27582]
GB_GCA_000347575.1	d__Bacteria	p__Atribacterota	c__Atribacteria	o__Atribacterales	f__Caldatribacteriaceae	g__Caldatribacterium	s__Caldatribacterium	saccharofermentans	[locus_tag=APCU01000223.1]	[location=168..1744]	[ssu_len=1577]	[contig_len=2220]
RS_GCF_015775515.1	d__Bacteria	p__Atribacterota	c__Atribacteria	o__Atribacterales	f__Atribacteraceae	g__Atribacter	s__Atribacter	laminatus	[locus_tag=NZ_CP065383.1]	[location=2878246..2879816]	[ssu_len=1571]	[contig_len=3101225]
GB_GCA_003599815.1	d__Bacteria	p__Auribacterota	c__Auribacteria	o__Auribacterales	f__Auribacteraceae	g__Auribacter	s__Auribacter	fodinae	[locus_tag=QZJZ01000103.1]	[location=515..2084]	[ssu_len=1570]	[contig_len=13631]
RS_GCF_014467015.1	d__Bacteria	p__Bacillota_D	c__Proteinivoracia	o__Proteinivoracales	f__Proteinivoraceae	g__Alkalicella	s__Alkalicella	caledoniensis	[locus_tag=NZ_CP058559.1]	[location=2748421..2749942]	[ssu_len=1522]	[contig_len=3695371]
RS_GCF_900142275.1	d__Bacteria	p__Bacillota_D	c__Proteinivoracia	o__Proteinivoracales	f__Proteinivoraceae	g__Anaerobranca	s__Anaerobranca	californiensis	[locus_tag=NZ_FRAI01000003.1]	[location=63..1074]	[ssu_len=1012]	[contig_len=1075]
RS_GCF_022539405.1	d__Bacteria	p__Bacillota_D	c__Natranaerobiia	o__Natranaerobiales	f__Natranaerofabaceae	g__Natranaerofaba	s__Natranaerofaba	carboxydovora	[locus_tag=NZ_CP054394.1-			
RS_GCF_002216005.1	d__Bacteria	p__Bacillota_D	c__Natranaerobiia	o__Natranaerobiales	f__Natranaerobiaceae	g__Natranaerobius_A	s__Natranaerobius_A	trueperi	[locus_tag=NZ_NIQC01000060.1]	[location=82..1619]	[ssu_len=1538]	[contig_len=1678]
RS_GCF_000020005.1	d__Bacteria	p__Bacillota_D	c__Natranaerobiia	o__Natranaerobiales	f__Natranaerobiaceae	g__Natranaerobius	s__Natranaerobius	thermophilus	[locus_tag=NC_010718.1]	[location=135927..137463]	[ssu_len=1537]	[contig_len=3165557]
RS_GCF_000174415.1	d__Bacteria	p__Bacillota_D	c__Dethiobacteria	o__Dethiobacterales	f__Dethiobacteraceae	g__Dethiobacter	s__Dethiobacter	alkaliphilus	[locus_tag=NZ_ACJM01000032.1]	[location=2844..4367]	[ssu_len=1524]	[contig_len=7242]
RS_GCF_022558445.1	d__Bacteria	p__Bacillota_D	c__Dethiobacteria	o__SKNC01	f__SKNC01	g__Contubernalis	s__Contubernalis	alkalaceticum	[locus_tag=NZ_CP054699.1]	[location=73172..74703]	[ssu_len=1532]	[contig_len=3558951]
GB_GCA_018714855.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__RF39	f__UBA660	g__Aphodocola	s__Aphodocola	excrementigallinarum	[locus_tag=DVMT01000039.1]	[location=1..351]	[ssu_len=351]	[contig_len=12326]
RS_GCF_000008365.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasma_J	s__Mycoplasma_J	mobile	[locus_tag=NC_006908.1]	[location=646162..647675]	[ssu_len=1514]	[contig_len=777079]
RS_GCF_024722375.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasma_M	s__Mycoplasma_M	iguanae	[locus_tag=NZ_CP102734.1]	[location=96119..97648]	[ssu_len=1530]	[contig_len=688439]
RS_GCF_000383515.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma	hyorhinis	[locus_tag=NZ_KB911485.1]	[location=93767..95289]	[ssu_len=1523]	[contig_len=122340]
GB_GCA_009756935.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma	ovipneumoniae_E	[locus_tag=VZDP01000001.1]	[location=17887..19414]	[ssu_len=1528]	[contig_len=85831]
RS_GCF_028885435.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma	ovipneumoniae	[locus_tag=NZ_CP118522.1]	[location=1064139..1065666]	[ssu_len=1528]	[contig_len=1081520]
RS_GCF_030548725.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma	ovipneumoniae_C	[locus_tag=NZ_JAUOZR010000001.1]	[location=216582..218109]	[ssu_len=1528]	[contig_len=433276]
RS_GCF_030012565.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma	ovipneumoniae_D	[locus_tag=NZ_CP124621.1]	[location=997861..999388]	[ssu_len=1528]	[contig_len=1014835]
RS_GCF_000218525.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma	ovipneumoniae_A	[locus_tag=NZ_AFHO01000006.1]	[location=14107..15634]	[ssu_len=1528]	[contig_len=24947]
RS_GCF_024758565.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma	ovipneumoniae_B	[locus_tag=NZ_CP079199.1]	[location=488369..489912]	[ssu_len=1544]	[contig_len=1081404]
RS_GCF_000941075.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma	dispar	[locus_tag=NZ_CP007229.1]	[location=1067742..1069269]	[ssu_len=1528]	[contig_len=1084449]
RS_GCF_000008205.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma	hyopneumoniae	[locus_tag=NC_007295.1]	[location=881095..882621]	[ssu_len=1527]	[contig_len=897405]
RS_GCF_000815065.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma	flocculare	[locus_tag=NZ_CP007585.1]	[location=762458..763994]	[ssu_len=1537]	[contig_len=778866]
RS_GCF_000026765.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma	conjunctivae	[locus_tag=NC_012806.1]	[location=831485..833016]	[ssu_len=1532]	[contig_len=846214]
RS_GCF_000524555.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma	bovoculi	[locus_tag=NZ_CP007154.1]	[location=747786..749313]	[ssu_len=1528]	[contig_len=760240]
RS_GCF_900660485.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma_A	s__Mesomycoplasma_A	neurolyticum	[locus_tag=NZ_LR214951.1]	[location=852568..854100]	[ssu_len=1533]	[contig_len=979558]
RS_GCF_000701825.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma_A	s__Mesomycoplasma_A	collis	[locus_tag=NZ_JNJY01000001.1]	[location=76708..78240]	[ssu_len=1533]	[contig_len=117384]
RS_GCF_024918955.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma_A	s__Mesomycoplasma_A	molare	[locus_tag=NZ_CP103423.1]	[location=84890..86410]	[ssu_len=1521]	[contig_len=869728]
