	i	protID	spname	symM3	symM2	symM1	sym0	sym1	sym2	sym3	strandM3	strandM2	strandM1	strand0	strand1	strand2	strand3	accM3	accM2	accM1	acc0	acc1	acc2	acc3	nameM3	nameM2	nameM1	name0	name1	name2	name3	genome_dir	gene_order_table_fn
1	1	QQS07318.1	Fibrobacteres bacterium								+	+	+	+	+	+	-	QQS07315.1	QQS07316.1	QQS07317.1	QQS07318.1	QQS07319.1	QQS07320.1	QQS07321.1	hypothetical protein	hypothetical protein	hypothetical protein	MotA/TolQ/ExbB proton channel family protein	flagellar motor protein MotB	hypothetical protein	lipopolysaccharide biosynthesis protein	GCA_016699655.1_ASM1669965v1	genomes/GCA_016699655.1_ASM1669965v1/GCA_016699655.1_ASM1669965v1_feature_table.txt
2	2	CDK98228.1	Magnetospirillum gryphiswaldense MSR-1 v2	yfiQ							-	+	+	-	-	+	+	CDK98231.1	CDK98230.1	CDK98229.1	CDK98228.1	CDK98227.1	CDK98226.1	CDK98225.1	fused acyl-CoA synthetase: NAD(P)-binding subunit ; ATP-binding subunit	conserved exported protein of unknown function	Uncharacterized signaling protein	putative flagellar motor component	putative flagellar motor apparatus component	binuclear zinc phosphodiesterase	conserved protein of unknown function	GCA_000513295.1_MGMSRv2	genomes/GCA_000513295.1_MGMSRv2/GCA_000513295.1_MGMSRv2_feature_table.txt
3	3	AEO48324.1	Rhodospirillum rubrum F11								-	+	-	+	+	-	-	AEO48321.1	AEO48322.1	AEO48323.1	AEO48324.1	AEO48325.1	AEO48326.1	AEO48327.1	undecaprenyl-diphosphatase	N-acetyltransferase	diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(s)	MotA/TolQ/ExbB proton channel	OmpA/MotB	hypothetical protein	sigma-24 (FecI)	GCA_000225955.1_ASM22595v1	genomes/GCA_000225955.1_ASM22595v1/GCA_000225955.1_ASM22595v1_feature_table.txt
4	4	QNQ12173.1	Sphingomonas alpina		flgC	flgB				flgM	+	+	+	-	-	-	-	QNQ12174.1	QNQ09333.1		QNQ12173.1	QNQ09332.1	QNQ09331.1	QNQ09330.1	flagellar hook assembly protein FlgD	flagellar basal body rod protein FlgC	flagellar basal body rod protein FlgB	MotA/TolQ/ExbB proton channel family protein	flagellar motor protein MotB	flagella basal body P-ring formation protein FlgA	flagellar biosynthesis anti-sigma factor FlgM	GCA_014490665.1_ASM1449066v1	genomes/GCA_014490665.1_ASM1449066v1/GCA_014490665.1_ASM1449066v1_feature_table.txt
5	5	UPT73159.1	Elusimicrobia bacterium								-	-	-	-	+	-	-	UPT73162.1	UPT73161.1	UPT73160.1	UPT73159.1	UPT73158.1	UPT73157.1	UPT73156.1	PorV/PorQ family protein	hypothetical protein	flagellar FlbD family protein	MotA/TolQ/ExbB proton channel family protein	hypothetical protein	hypothetical protein	aminotransferase class V-fold PLP-dependent enzyme	GCA_023213235.1_ASM2321323v1	genomes/GCA_023213235.1_ASM2321323v1/GCA_023213235.1_ASM2321323v1_feature_table.txt
6	6	AIQ92767.1	Methylobacterium oryzae CBMB20			ndvA					-	-	+	-	-	+	-	AIQ92770.1	AIQ92769.1	AIQ92768.1	AIQ92767.1	AIQ92766.1	AIQ92765.1	AIQ92764.1	Ribonuclease BN	Putative epoxide hydrolase	"Cyclic beta-1,2-glucan ABC transporter NdvA"	MotA/TolQ/ExbB proton channel	OmpA/MotB domain-containing protein	SCP-like extracellular protein	Diguanylate cyclase	GCA_000757795.1_ASM75779v1	genomes/GCA_000757795.1_ASM75779v1/GCA_000757795.1_ASM75779v1_feature_table.txt
7	7	ABA04498.1	Nitrobacter winogradskyi Nb-255								+	+	+	+	+	+	+	ABA04495.1	ABA04496.1	ABA04497.1	ABA04498.1	ABA04499.1	ABA04500.1	ABA04501.1	"ABC transporter, transmembrane region"	Phosphatidylserine decarboxylase-related protein	CDP-diacylglycerol--serine O-phosphatidyltransferase	MotA/TolQ/ExbB proton channel	OmpA/MotB	potassium transporter	rhodanese-like protein	GCA_000012725.1_ASM1272v1	genomes/GCA_000012725.1_ASM1272v1/GCA_000012725.1_ASM1272v1_feature_table.txt
8	8	AEO47025.1	Rhodospirillum rubrum F11	fliG	fliH				flhA		-	-	-	-	-	-	+	AEO47028.1	AEO47027.1	AEO47026.1	AEO47025.1	AEO47024.1	AEO47023.1	AEO47022.1	flagellar motor switch protein G	flagellar assembly protein H	flagellar motor switch protein	MotA/TolQ/ExbB proton channel	"two component, sigma54 specific, Fis family transcriptional regulator"	flagellar biosynthesis protein FlhA	hypothetical protein	GCA_000225955.1_ASM22595v1	genomes/GCA_000225955.1_ASM22595v1/GCA_000225955.1_ASM22595v1_feature_table.txt
9	9	APC07901.1	Moorella thermoacetica		flgG_1		pomA_2	motB_2	fliL	fliN_1	+	+	+	+	+	+	+	APC07898.1	APC07899.1	APC07900.1	APC07901.1	APC07902.1	APC07903.1	APC07904.1	hypothetical protein	flagellar basal-body rod protein FlgG	flagellar protein FlbD	chemotaxis protein PomA	motility protein B	flagellar FliL protein	flagellar motor switch protein FliN	GCA_001874605.1_ASM187460v1	genomes/GCA_001874605.1_ASM187460v1/GCA_001874605.1_ASM187460v1_feature_table.txt
10	11	QEO41881.1	Vibrio cholerae		ispA	xseB	pomA		thiI		+	+	+	-	-	-	+	QEO41884.1	QEO41883.1	QEO41882.1	QEO41881.1	QEO41880.1	QEO41879.1	QEO41878.1	1-deoxy-D-xylulose-5-phosphate synthase	"(2E,6E)-farnesyl diphosphate synthase"	exodeoxyribonuclease VII small subunit	flagellar motor protein PomA	flagellar motor protein MotB	tRNA 4-thiouridine(8) synthase ThiI	hypothetical protein	GCA_008369605.1_ASM836960v1	genomes/GCA_008369605.1_ASM836960v1/GCA_008369605.1_ASM836960v1_feature_table.txt
