feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	201	1547	+					dnaA		CFX1CAM_0001	1347		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	201	1547	+	SMX53067.1			Chromosomal replication initiator protein DnaA	dnaA		CFX1CAM_0001	1347	448	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	1660	3078	-							CFX1CAM_0002	1419		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	1660	3078	-	SMX53068.1			putative Undecaprenyl-phosphate galactose phosphotransferase, wbap			CFX1CAM_0002	1419	472	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	3143	3943	-							CFX1CAM_0003	801		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	3143	3943	-	SMX53069.1			putative Glycosyl transferase family 2			CFX1CAM_0003	801	266	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	4109	4756	-							CFX1CAM_0004	648		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	4109	4756	-	SMX53070.1			conserved protein of unknown function			CFX1CAM_0004	648	215	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	4783	4980	-							CFX1CAM_0005	198		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	4783	4980	-	SMX53071.1			exported protein of unknown function			CFX1CAM_0005	198	65	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	5009	6265	-					hutI		CFX1CAM_0006	1257		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	5009	6265	-	SMX53072.1			Imidazolonepropionase	hutI		CFX1CAM_0006	1257	418	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	6297	7019	-							CFX1CAM_0007	723		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	6297	7019	-	SMX53073.1			conserved protein of unknown function			CFX1CAM_0007	723	240	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	7033	7569	-							CFX1CAM_0008	537		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	7033	7569	-	SMX53074.1			conserved protein of unknown function			CFX1CAM_0008	537	178	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	7712	11536	-					dnaE		CFX1CAM_0009	3825		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	7712	11536	-	SMX53075.1			DNA polymerase III subunit alpha	dnaE		CFX1CAM_0009	3825	1274	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	11886	13532	-					rnjA		CFX1CAM_0010	1647		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	11886	13532	-	SMX53076.1			Ribonuclease J 1	rnjA		CFX1CAM_0010	1647	548	
gene	tRNA	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	13932	14004	+							CFX1CAM_TRNA1	73		
tRNA		GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	13932	14004	+				tRNA-Lys			CFX1CAM_TRNA1	73		
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	14210	14752	-							CFX1CAM_0011	543		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	14210	14752	-	SMX53077.1			conserved exported protein of unknown function			CFX1CAM_0011	543	180	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	14892	15437	-							CFX1CAM_0012	546		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	14892	15437	-	SMX53078.1			conserved protein of unknown function			CFX1CAM_0012	546	181	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	15445	18120	-							CFX1CAM_0013	2676		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	15445	18120	-	SMX53079.1			conserved protein of unknown function			CFX1CAM_0013	2676	891	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	18124	19626	-							CFX1CAM_0014	1503		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	18124	19626	-	SMX53080.1			conserved protein of unknown function			CFX1CAM_0014	1503	500	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	19763	21028	-							CFX1CAM_0015	1266		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	19763	21028	-	SMX53081.1			putative Major Facilitator Superfamily			CFX1CAM_0015	1266	421	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	21035	22096	-							CFX1CAM_0016	1062		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	21035	22096	-	SMX53082.1			protein of unknown function			CFX1CAM_0016	1062	353	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	22184	22270	+							CFX1CAM_0017	87		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	22184	22270	+	SMX53083.1			protein of unknown function			CFX1CAM_0017	87	28	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	22278	23594	+							CFX1CAM_0018	1317		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	22278	23594	+	SMX53084.1			conserved exported protein of unknown function			CFX1CAM_0018	1317	438	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	23673	24980	+							CFX1CAM_0019	1308		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	23673	24980	+	SMX53085.1			conserved exported protein of unknown function			CFX1CAM_0019	1308	435	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	25076	25384	-							CFX1CAM_0020	309		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	25076	25384	-	SMX53086.1			conserved protein of unknown function			CFX1CAM_0020	309	102	
gene	tRNA	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	25539	25611	+							CFX1CAM_TRNA2	73		
tRNA		GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	25539	25611	+				tRNA-Arg			CFX1CAM_TRNA2	73		
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	25689	26006	-							CFX1CAM_0021	318		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	25689	26006	-	SMX53087.1			protein of unknown function			CFX1CAM_0021	318	105	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	25819	27114	+							CFX1CAM_0022	1296		
CDS	with_protein	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	25819	27114	+	SMX53088.1			conserved exported protein of unknown function			CFX1CAM_0022	1296	431	
gene	protein_coding	GCA_900184705.1	Primary Assembly	chromosome	I	LT859958.1	27188	28009	-					cdsA		CFX1CAM_0023	822		
