feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	3830305	717	-							EP01_RS18525	840		old_locus_tag=EP01_00005
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	3830305	717	-	WP_226988011.1	WP_226988011.1		hypothetical protein			EP01_RS18525	840	279	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	689	913	-							EP01_RS18695	225		
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	689	913	-	WP_080701348.1	WP_080701348.1		hypothetical protein			EP01_RS18695	225	74	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	1079	1693	+							EP01_RS00010	615		old_locus_tag=EP01_00010
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	1079	1693	+	WP_011165314.1	WP_011165314.1		hypothetical protein			EP01_RS00010	615	204	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	1668	2606	+							EP01_RS00015	939		old_locus_tag=EP01_00015
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	1668	2606	+	WP_038448221.1	WP_038448221.1		HTTM domain-containing protein			EP01_RS00015	939	312	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	2682	3605	-							EP01_RS00020	924		old_locus_tag=EP01_00020
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	2682	3605	-	WP_226988012.1	WP_226988012.1		HTTM domain-containing protein			EP01_RS00020	924	307	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	3583	4158	-							EP01_RS00025	576		old_locus_tag=EP01_00025
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	3583	4158	-	WP_080701349.1	WP_080701349.1		hypothetical protein			EP01_RS00025	576	191	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	4290	4547	-							EP01_RS00030	258		old_locus_tag=EP01_00030
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	4290	4547	-	WP_038448224.1	WP_038448224.1		hypothetical protein			EP01_RS00030	258	85	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	4827	5699	+							EP01_RS00035	873		old_locus_tag=EP01_00035
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	4827	5699	+	WP_226988013.1	WP_226988013.1		murein L,D-transpeptidase catalytic domain family protein			EP01_RS00035	873	290	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	5765	7165	-							EP01_RS00040	1401		old_locus_tag=EP01_00040
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	5765	7165	-	WP_038448226.1	WP_038448226.1		mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase			EP01_RS00040	1401	466	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	7371	8366	+							EP01_RS00045	996		old_locus_tag=EP01_00045
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	7371	8366	+	WP_038448227.1	WP_038448227.1		flippase-like domain-containing protein			EP01_RS00045	996	331	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	8368	9351	-							EP01_RS00050	984		old_locus_tag=EP01_00050
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	8368	9351	-	WP_038448228.1	WP_038448228.1		HAD-IIIA family hydrolase			EP01_RS00050	984	327	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	9448	9972	+							EP01_RS00055	525		old_locus_tag=EP01_00055
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	9448	9972	+	WP_011165323.1	WP_011165323.1		DUF2062 domain-containing protein			EP01_RS00055	525	174	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	9985	11940	+							EP01_RS00060	1956		old_locus_tag=EP01_00060
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	9985	11940	+	WP_038448229.1	WP_038448229.1		TIGR03545 family protein			EP01_RS00060	1956	651	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	12139	13242	+							EP01_RS00065	1104		old_locus_tag=EP01_00065
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	12139	13242	+	WP_038448230.1	WP_038448230.1		hypothetical protein			EP01_RS00065	1104	367	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	13284	13856	-							EP01_RS00070	573		old_locus_tag=EP01_00070
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	13284	13856	-	WP_038448231.1	WP_038448231.1		TlpA family protein disulfide reductase			EP01_RS00070	573	190	
gene	pseudogene	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	14291	14641	-					rplQ		EP01_RS18790	351		partial;pseudo
CDS	without_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	14291	14641	-				50S ribosomal protein L17	rplQ		EP01_RS18790	351		partial;pseudo
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	14797	15828	-							EP01_RS00080	1032		old_locus_tag=EP01_00085
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	14797	15828	-	WP_038448232.1	WP_038448232.1		DNA-directed RNA polymerase subunit alpha			EP01_RS00080	1032	343	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	15849	16475	-					rpsD		EP01_RS00085	627		old_locus_tag=EP01_00090
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	15849	16475	-	WP_011165329.1	WP_011165329.1		30S ribosomal protein S4	rpsD		EP01_RS00085	627	208	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	16486	16878	-					rpsK		EP01_RS00090	393		old_locus_tag=EP01_00095
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	16486	16878	-	WP_011165330.1	WP_011165330.1		30S ribosomal protein S11	rpsK		EP01_RS00090	393	130	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	16893	17267	-					rpsM		EP01_RS00095	375		old_locus_tag=EP01_00100
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	16893	17267	-	WP_011165331.1	WP_011165331.1		30S ribosomal protein S13	rpsM		EP01_RS00095	375	124	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	17270	17383	-					rpmJ		EP01_RS18415	114		
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	17270	17383	-	WP_011165332.1	WP_011165332.1		50S ribosomal protein L36	rpmJ		EP01_RS18415	114	37	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	17514	18149	-							EP01_RS00100	636		old_locus_tag=EP01_00105
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	17514	18149	-	WP_011165333.1	WP_011165333.1		adenylate kinase			EP01_RS00100	636	211	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	18149	19477	-					secY		EP01_RS00105	1329		old_locus_tag=EP01_00110
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	18149	19477	-	WP_011165334.1	WP_011165334.1		preprotein translocase subunit SecY	secY		EP01_RS00105	1329	442	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	19477	19914	-					rplO		EP01_RS00110	438		old_locus_tag=EP01_00115
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	19477	19914	-	WP_011165335.1	WP_011165335.1		50S ribosomal protein L15	rplO		EP01_RS00110	438	145	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	19917	20102	-					rpmD		EP01_RS00115	186		old_locus_tag=EP01_00120
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	19917	20102	-	WP_038448233.1	WP_038448233.1		50S ribosomal protein L30	rpmD		EP01_RS00115	186	61	
gene	pseudogene	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	20097	20581	-					rpsE		EP01_RS00120	485		partial;pseudo;old_locus_tag=EP01_00125
CDS	without_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	20097	20581	-				30S ribosomal protein S5	rpsE		EP01_RS00120	485		partial;pseudo
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	20592	20957	-					rplR		EP01_RS00125	366		old_locus_tag=EP01_00130
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	20592	20957	-	WP_011165338.1	WP_011165338.1		50S ribosomal protein L18	rplR		EP01_RS00125	366	121	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	20970	21512	-					rplF		EP01_RS00130	543		old_locus_tag=EP01_00135
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	20970	21512	-	WP_011165339.1	WP_011165339.1		50S ribosomal protein L6	rplF		EP01_RS00130	543	180	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	21520	21909	-					rpsH		EP01_RS00135	390		old_locus_tag=EP01_00140
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	21520	21909	-	WP_011165340.1	WP_011165340.1		30S ribosomal protein S8	rpsH		EP01_RS00135	390	129	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	21920	22225	-					rpsN		EP01_RS00140	306		old_locus_tag=EP01_00145
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	21920	22225	-	WP_038448234.1	WP_038448234.1		30S ribosomal protein S14	rpsN		EP01_RS00140	306	101	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	22236	22775	-					rplE		EP01_RS00145	540		old_locus_tag=EP01_00150
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	22236	22775	-	WP_011165341.1	WP_011165341.1		50S ribosomal protein L5	rplE		EP01_RS00145	540	179	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	22786	23154	-					rplN		EP01_RS00150	369		old_locus_tag=EP01_00155
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	22786	23154	-	WP_011165342.1	WP_011165342.1		50S ribosomal protein L14	rplN		EP01_RS00150	369	122	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	23164	23433	-					rpsQ		EP01_RS00155	270		old_locus_tag=EP01_00160
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	23164	23433	-	WP_011165343.1	WP_011165343.1		30S ribosomal protein S17	rpsQ		EP01_RS00155	270	89	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	23443	23634	-					rpmC		EP01_RS00160	192		old_locus_tag=EP01_00165
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	23443	23634	-	WP_011165344.1	WP_011165344.1		50S ribosomal protein L29	rpmC		EP01_RS00160	192	63	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	23639	24046	-					rplP		EP01_RS00165	408		old_locus_tag=EP01_00170
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	23639	24046	-	WP_011165345.1	WP_011165345.1		50S ribosomal protein L16	rplP		EP01_RS00165	408	135	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	24033	24698	-					rpsC		EP01_RS00170	666		old_locus_tag=EP01_00175
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	24033	24698	-	WP_011165346.1	WP_011165346.1		30S ribosomal protein S3	rpsC		EP01_RS00170	666	221	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	24701	25033	-					rplV		EP01_RS00175	333		old_locus_tag=EP01_00180
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	24701	25033	-	WP_011165347.1	WP_011165347.1		50S ribosomal protein L22	rplV		EP01_RS00175	333	110	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	25046	25333	-					rpsS		EP01_RS00180	288		old_locus_tag=EP01_00185
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	25046	25333	-	WP_011165348.1	WP_011165348.1		30S ribosomal protein S19	rpsS		EP01_RS00180	288	95	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	25343	26161	-					rplB		EP01_RS00185	819		old_locus_tag=EP01_00190
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	25343	26161	-	WP_011165349.1	WP_011165349.1		50S ribosomal protein L2	rplB		EP01_RS00185	819	272	
