#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-3AEAAA4FF4D93608-2C25B46CC2CA0C9B
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-08-16T00:44:06	Run time	0:00:01:00
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - ACL96805.1	superfamily	444982	11	226	2.23102e-100	290.303	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#2 - AEO47594.1	superfamily	444982	82	297	8.46608e-107	309.563	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#3 - AIK95558.1	superfamily	444982	21	237	7.03446e-105	302.244	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#4 - CDK97994.1	superfamily	444982	19	235	2.87324e-107	308.022	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#5 - ABI77898.1	superfamily	444982	16	228	6.48351e-73	220.967	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#6 - AEP09506.1	superfamily	444982	23	239	7.11748e-108	310.719	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#7 - ADE40539.1	superfamily	444982	16	234	2.52825e-100	290.688	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#8 - AIQ91305.1	superfamily	444982	15	218	1.17816e-73	222.508	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#9 - AEO48685.1	superfamily	444982	81	285	1.04511e-71	220.197	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#10 - ADE86923.1	superfamily	444982	18	230	3.43379e-101	292.614	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#11 - WP_002720852.1	superfamily	444982	15	227	4.56493e-107	307.252	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#12 - AGI73193.1	superfamily	444982	8	220	3.69623e-98	284.525	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#13 - BDB95989.1	superfamily	444982	14	220	4.04272e-58	183.218	cl00568	MotA_ExbB superfamily	 - 	 - 
