feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	64	1362	+					dnaA		NCTC11427_00001	1299		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	64	1362	+	VEF78119.1			DNA biosynthesis, initiation, binding protein	dnaA		NCTC11427_00001	1299	432	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	1521	2657	+					dnaN		NCTC11427_00002	1137		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	1521	2657	+	VEF78120.1			DNA polymerase III, beta subunit	dnaN		NCTC11427_00002	1137	378	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	2722	2916	+							NCTC11427_00003	195		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	2722	2916	+	VEF78121.1			Bacterial protein of uncharacterised function (DUF951)			NCTC11427_00003	195	64	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	3001	4116	+					engD		NCTC11427_00004	1116		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	3001	4116	+	VEF78122.1			GTP-dependent nucleic acid-binding protein EngD	engD		NCTC11427_00004	1116	371	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	4190	4759	+					pth		NCTC11427_00005	570		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	4190	4759	+	VEF78123.1			peptidyl-tRNA hydrolase	pth		NCTC11427_00005	570	189	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	4760	8263	+					trcF		NCTC11427_00006	3504		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	4760	8263	+	VEF78124.1			transcription-repair coupling factor	trcF		NCTC11427_00006	3504	1167	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	8321	8587	+							NCTC11427_00007	267		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	8321	8587	+	VEF78125.1			S4 RNA-binding domain-containing protein			NCTC11427_00007	267	88	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	8580	8948	+							NCTC11427_00008	369		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	8580	8948	+	VEF78126.1			cell division protein			NCTC11427_00008	369	122	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	8953	9075	+							NCTC11427_00009	123		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	8953	9075	+	VEF78127.1			putative extracellular protein			NCTC11427_00009	123	40	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	9068	10336	+							NCTC11427_00010	1269		
